prior,model,RMSE,Rel_L2
Gaussian,MLP,5.825083480985271e-06,0.016855283442579326
Gaussian,CNN2D,5.846487105477996e-06,0.016917216315936602
Gaussian,DeepONet_MLP_Fourier,6.029034894765816e-06,0.017445431017117503
Gaussian,Gauss-Newton,5.5525469058116015e-06,0.016066679942214546
Gaussian,Sample_Mean,9.783690781027825e-06,0.02830978848064191
Laplace,MLP,4.276479676373087e-06,0.012374290826387649
Laplace,CNN2D,4.386694916114711e-06,0.012693206273968959
Laplace,DeepONet_MLP_Fourier,4.577157992446845e-06,0.01324432440770955
Laplace,Gauss-Newton,5.5525469058116015e-06,0.016066679942214546
Laplace,Sample_Mean,9.802701148805975e-06,0.02836479629955032
TV,MLP,7.044956946672952e-06,0.020385072001896185
TV,CNN2D,7.093403785360597e-06,0.02052525629292699
TV,DeepONet_MLP_Fourier,7.5569661453460444e-06,0.02186660616308269
TV,Gauss-Newton,5.5525469058116015e-06,0.016066679942214546
TV,Sample_Mean,9.777484452421424e-06,0.028291830037962047
Uniform,MLP,8.445427592489461e-06,0.024437431039376747
Uniform,CNN2D,7.932917731348204e-06,0.022954448176581495
Uniform,DeepONet_MLP_Fourier,8.13255262415174e-06,0.02353210559801014
Uniform,Gauss-Newton,5.5525469058116015e-06,0.016066679942214546
Uniform,Sample_Mean,9.765192328192793e-06,0.028256261923159692
