prior,model,RMSE,Rel_L2
Gaussian,MLP,8.994439898421679e-06,0.02602603626025615
Gaussian,CNN2D,8.768893937502232e-06,0.02537340336442971
Gaussian,DeepONet_MLP_Fourier,8.734762946374241e-06,0.02527464297215098
Gaussian,Gauss-Newton,9.45461491331591e-06,0.027357584612233334
Gaussian,Sample_Mean,9.793841462498376e-06,0.028339160182160004
Laplace,MLP,4.159843073947168e-06,0.012036794720093946
Laplace,CNN2D,4.870531688870493e-06,0.01409322156497079
Laplace,DeepONet_MLP_Fourier,4.874260181722066e-06,0.014104010217877145
Laplace,Gauss-Newton,9.45461491331591e-06,0.027357584612233334
Laplace,Sample_Mean,9.802701148805975e-06,0.02836479629955032
TV,MLP,7.071744150891156e-06,0.020462582636929297
TV,CNN2D,7.94662896011831e-06,0.02299412256889202
TV,DeepONet_MLP_Fourier,7.695459011516427e-06,0.022267344885831805
TV,Gauss-Newton,9.45461491331591e-06,0.027357584612233334
TV,Sample_Mean,9.777484452421424e-06,0.028291830037962047
Uniform,MLP,8.345294922771997e-06,0.024147690208114945
Uniform,CNN2D,8.092834502231694e-06,0.023417178454913454
Uniform,DeepONet_MLP_Fourier,8.078934358023369e-06,0.023376957422667512
Uniform,Gauss-Newton,9.45461491331591e-06,0.027357584612233334
Uniform,Sample_Mean,9.765192328192793e-06,0.028256261923159692
