prior,model,RMSE,Rel_L2
Gaussian,MLP,8.738537903713401e-06,0.025285566073277838
Gaussian,CNN2D,9.398859569763036e-06,0.027196252655002206
Gaussian,DeepONet_MLP_Fourier,8.861224819590535e-06,0.02564056918156895
Gaussian,Gauss-Newton,9.45461491331591e-06,0.027357584612233334
Gaussian,Sample_Mean,9.793841462498376e-06,0.028339160182160004
Laplace,MLP,4.202142514492448e-06,0.012159191087833665
Laplace,CNN2D,4.33717388138983e-06,0.012549913722131316
Laplace,DeepONet_MLP_Fourier,4.864619388702413e-06,0.014076113913989323
Laplace,Gauss-Newton,9.45461491331591e-06,0.027357584612233334
Laplace,Sample_Mean,9.802701148805975e-06,0.02836479629955032
TV,MLP,7.347445570938322e-06,0.021260343835646164
TV,CNN2D,7.107002074717531e-06,0.020564603887205
TV,DeepONet_MLP_Fourier,7.751254247928367e-06,0.022428792275820092
TV,Gauss-Newton,9.45461491331591e-06,0.027357584612233334
TV,Sample_Mean,9.777484452421424e-06,0.028291830037962047
Uniform,MLP,8.336703882425947e-06,0.02412283143646438
Uniform,CNN2D,7.300861706603983e-06,0.021125550190238505
Uniform,DeepONet_MLP_Fourier,8.317034385532965e-06,0.024065916381703984
Uniform,Gauss-Newton,9.45461491331591e-06,0.027357584612233334
Uniform,Sample_Mean,9.765192328192793e-06,0.028256261923159692
