prior,model,RMSE,Rel_L2
Gaussian,MLP,0.2040776921218567,0.34653797698189154
Gaussian,CNN,0.24064803170614243,0.4086369323616495
Gaussian,DeepONet_MLP_Fourier,0.2582084345206753,0.4384557058055481
Gaussian,Gauss-Newton,0.26290281759586864,0.4464270915907429
Gaussian,Sample_Mean,0.5891042854778721,1.000339651033325
Laplace,MLP,0.16509071468876907,0.2803354040900263
Laplace,CNN,0.2210199754793911,0.3753071410151079
Laplace,DeepONet_MLP_Fourier,0.1567363527971964,0.26614912219522957
Laplace,Gauss-Newton,0.26290281759586864,0.4464270915907429
Laplace,Sample_Mean,0.5887700063345359,0.999772022024615
TV,MLP,0.1808950923072769,0.30717232580563125
TV,CNN,0.1625614793707263,0.2760405883200482
TV,DeepONet_MLP_Fourier,0.27489969626755667,0.4667986178548756
TV,Gauss-Newton,0.26290281759586864,0.4464270915907429
TV,Sample_Mean,0.5895685395944702,1.0011279864986014
Uniform,MLP,0.24982193198257535,0.4242148468792755
Uniform,CNN,0.2793254219416503,0.4743138048693457
Uniform,DeepONet_MLP_Fourier,0.30325451231057116,0.5149470484210774
Uniform,Gauss-Newton,0.26290281759586864,0.4464270915907429
Uniform,Sample_Mean,0.5884107352615412,0.9991619549980371
