prior,model,RMSE,Rel_L2
Gaussian,MLP,0.1423107672392359,0.24165348436211517
Gaussian,CNN,0.13920400452549314,0.23637798729729964
Gaussian,DeepONet_MLP_Fourier,0.11011565176086845,0.1869839608557929
Gaussian,Gauss-Newton,0.20762809739420654,0.35256680966690296
Gaussian,Sample_Mean,0.5880703140679088,0.998583896364893
Laplace,MLP,0.20292852928177635,0.3445866193313629
Laplace,CNN,0.17271053058432864,0.2932743762920687
Laplace,DeepONet_MLP_Fourier,0.16388816880275528,0.2782933983507695
Laplace,Gauss-Newton,0.20762809739420654,0.35256680966690296
Laplace,Sample_Mean,0.5887700063345359,0.999772022024615
TV,MLP,0.21329965875152523,0.36219751147786
TV,CNN,0.16462341605292846,0.2795418988213862
TV,DeepONet_MLP_Fourier,0.18653541649047473,0.3167499847434847
TV,Gauss-Newton,0.20762809739420654,0.35256680966690296
TV,Sample_Mean,0.5895685395944702,1.0011279864986014
Uniform,MLP,0.2524660598781781,0.4287047581591249
Uniform,CNN,0.29814603347830776,0.5062724995197191
Uniform,DeepONet_MLP_Fourier,0.1728297566402261,0.2934768303466234
Uniform,Gauss-Newton,0.20762809739420654,0.35256680966690296
Uniform,Sample_Mean,0.5884107352615412,0.9991619549980371
