prior,model,RMSE,Rel_L2
Gaussian,MLP,0.07147094816128209,0.12136259250716876
Gaussian,CNN,0.09966716495161182,0.16924171061885984
Gaussian,DeepONet_MLP_Fourier,0.10690646746194336,0.18153454488509732
Gaussian,Gauss-Newton,0.20762809739420654,0.35256680966690296
Gaussian,Sample_Mean,0.5880703140679088,0.998583896364893
Laplace,MLP,0.17928168538238012,0.30443264972448236
Laplace,CNN,0.20812587063880753,0.3534120629201431
Laplace,DeepONet_MLP_Fourier,0.1401492300948185,0.2379830454159987
Laplace,Gauss-Newton,0.20762809739420654,0.35256680966690296
Laplace,Sample_Mean,0.5887700063345359,0.999772022024615
TV,MLP,0.17058452808381092,0.2896642776187265
TV,CNN,0.1599997100009097,0.27169052748939
TV,DeepONet_MLP_Fourier,0.2057864865881274,0.3494396276780671
TV,Gauss-Newton,0.20762809739420654,0.35256680966690296
TV,Sample_Mean,0.5895685395944702,1.0011279864986014
Uniform,MLP,0.2575247900408456,0.43729483039309214
Uniform,CNN,0.292544330416162,0.49676042190542435
Uniform,DeepONet_MLP_Fourier,0.3168521852648105,0.5380368336309661
Uniform,Gauss-Newton,0.20762809739420654,0.35256680966690296
Uniform,Sample_Mean,0.5884107352615412,0.9991619549980371
