prior,model,RMSE,Rel_L2
Gaussian,MLP,0.3727965353709475,0.659017395409119
Gaussian,CNN,0.3825093239063358,0.676187342003129
Gaussian,DeepONet_MLP_Fourier,0.3651323676669189,0.6454689330199451
Gaussian,MAP,0.3618896667101451,0.639736593430208
Gaussian,Sample_Mean,0.5657895131073746,1.000184003606149
Laplace,MLP,0.36789173628496347,0.6503468536739768
Laplace,CNN,0.3583736412702119,0.6335210798517049
Laplace,DeepONet_MLP_Fourier,0.3582653544373247,0.6333296539670856
Laplace,MAP,0.3618896667101451,0.639736593430208
Laplace,Sample_Mean,0.5653850002541965,0.9994689191522504
TV,MLP,0.2747173610854209,0.4856362723329362
TV,CNN,0.28410158488421167,0.502225393043679
TV,DeepONet_MLP_Fourier,0.29537474899619026,0.5221537200162013
TV,MAP,0.3618896667101451,0.639736593430208
TV,Sample_Mean,0.5655685218356368,0.9997933425390767
Uniform,MLP,0.37217256871453697,0.6579143677741636
Uniform,CNN,0.3676504255109429,0.6499202724622685
Uniform,DeepONet_MLP_Fourier,0.36429175702211014,0.6439829293017404
Uniform,MAP,0.3618896667101451,0.639736593430208
Uniform,Sample_Mean,0.5656374725079207,0.9999152312589253
