Prior,Model,Method,RMSE,Rel_L2
Gaussian,MLP (NN),NN,0.3517,0.6218
Gaussian,MLP (PINN),PINN,0.3611,0.6383
Gaussian,DeepONet (NN),NN,0.3618,0.6396
Gaussian,CNN (NN),NN,0.3627,0.6411
Gaussian,CNN (PINN),PINN,0.3634,0.6424
Gaussian,DeepONet (PINN),PINN,0.3666,0.6481
Gaussian,MAP,Reference,0.357,0.6311
Gaussian,Sample Mean,Reference,0.5645,0.9979
Laplace,MLP (PINN),PINN,0.3506,0.6198
Laplace,CNN (NN),NN,0.3561,0.6296
Laplace,MLP (NN),NN,0.3564,0.6301
Laplace,DeepONet (NN),NN,0.3591,0.6348
Laplace,CNN (PINN),PINN,0.3615,0.639
Laplace,DeepONet (PINN),PINN,0.3624,0.6407
Laplace,MAP,Reference,0.357,0.6311
Laplace,Sample Mean,Reference,0.5654,0.9995
TV,MLP (PINN),PINN,0.2535,0.4481
TV,CNN (NN),NN,0.2664,0.4709
TV,CNN (PINN),PINN,0.2829,0.5001
TV,MLP (NN),NN,0.2928,0.5176
TV,DeepONet (PINN),PINN,0.2993,0.5291
TV,DeepONet (NN),NN,0.3025,0.5348
TV,MAP,Reference,0.357,0.6311
TV,Sample Mean,Reference,0.5656,0.9998
Uniform,CNN (NN),NN,0.3574,0.6319
Uniform,MLP (NN),NN,0.3594,0.6354
Uniform,DeepONet (PINN),PINN,0.3594,0.6353
Uniform,DeepONet (NN),NN,0.3628,0.6414
Uniform,MLP (PINN),PINN,0.3687,0.6517
Uniform,CNN (PINN),PINN,0.3736,0.6605
Uniform,MAP,Reference,0.357,0.6311
Uniform,Sample Mean,Reference,0.5656,0.9999
