prior,model,RMSE,Rel_L2
Gaussian,MLP,0.3611033945870982,0.638346647555047
Gaussian,CNN,0.3633974631689812,0.6424020261819382
Gaussian,DeepONet_MLP_Fourier,0.36662827157748373,0.6481133425178547
Gaussian,MAP,0.3570252878166041,0.6311375051754992
Gaussian,Sample_Mean,0.5644694248915842,0.9978503952832747
Laplace,MLP,0.3505881207987766,0.6197580940506585
Laplace,CNN,0.36147791380887095,0.6390087102585474
Laplace,DeepONet_MLP_Fourier,0.3624447985259238,0.6407179371086817
Laplace,MAP,0.3570252878166041,0.6311375051754992
Laplace,Sample_Mean,0.5653850002541965,0.9994689191522504
TV,MLP,0.2534734809810758,0.44808204313169525
TV,CNN,0.2829135198719307,0.5001251709769932
TV,DeepONet_MLP_Fourier,0.29931386325217524,0.5291171560218904
TV,MAP,0.3570252878166041,0.6311375051754992
TV,Sample_Mean,0.5655685218356368,0.9997933425390767
Uniform,MLP,0.3686566139494516,0.651698979132321
Uniform,CNN,0.373613074360291,0.660460846050289
Uniform,DeepONet_MLP_Fourier,0.35939012321401187,0.6353179830402417
Uniform,MAP,0.3570252878166041,0.6311375051754992
Uniform,Sample_Mean,0.5656374725079207,0.9999152312589253
